dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
watdiv_1m,kg2pg,parsi,20260704T124132Z,1,kg2pg,407.57774,55.69495,0.00234,265.67949,44.86752,55.69497,1.1431,3.31512,2.64327,34.23096,0.85538,False,1090765,933024,157741,0.94392,False,1201163,950094,56445,194624,0.16203,1.0,True,1028715,1028715,0,0,False
watdiv_1m,kg2pg,parsi,20260704T124132Z,2,kg2pg,411.68415,55.48454,0.00188,268.47377,44.73876,55.48455,1.1575,3.4748,2.37638,35.97558,0.85538,False,1090765,933024,157741,0.94392,False,1201163,950094,56445,194624,0.16203,1.0,True,1028715,1028715,0,0,False
watdiv_1m,rdf2pg,sdm,20260703T141106Z,0,rdf2pg_sdm,328.51744,38.19885,0.00178,221.74036,42.71157,38.19886,1.65534,2.09975,2.27218,19.83658,0.0,False,1090765,0,1090765,1.0,True,1201163,57572,0,1143591,0.95207,0.0,False,1102748,0,0,1102748,False
watdiv_1m,rdf2pg,sdm,20260703T141106Z,1,rdf2pg_sdm,325.59744,37.89472,0.00175,220.42064,43.15116,37.89474,1.54002,2.34185,2.3833,17.8629,0.0,False,1090765,0,1090765,1.0,True,1201163,57572,0,1143591,0.95207,0.0,False,1102748,0,0,1102748,False
watdiv_1m,rdf2pg,sdm,20260703T141106Z,2,rdf2pg_sdm,325.94292,38.79391,0.00181,221.60631,42.53362,38.79392,1.49737,2.36369,2.47329,16.67182,0.0,False,1090765,0,1090765,1.0,True,1201163,57572,0,1143591,0.95207,0.0,False,1102748,0,0,1102748,False
watdiv_ceiling,rdf2pg,cdm,20260703T082800Z,0,rdf2pg_cdm,38.04554,6.58303,0.00181,22.25201,3.88786,6.58305,0.22731,0.58222,0.22416,4.28616,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,0.52582,False,115032,5940,109092,0,True
watdiv_ceiling,rdf2pg,cdm,20260703T082800Z,1,rdf2pg_cdm,37.28914,6.81718,0.00178,21.69466,3.65732,6.81719,0.19982,0.40127,0.2304,4.28585,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,0.52582,False,115032,5940,109092,0,True
watdiv_ceiling,rdf2pg,cdm,20260703T082800Z,2,rdf2pg_cdm,37.42778,6.70424,0.00178,21.6117,3.89249,6.70426,0.22606,0.53309,0.2741,4.1833,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,0.52582,False,115032,5940,109092,0,True
watdiv_ceiling,rdf2pg,gdm,20260703T082405Z,0,rdf2pg_gdm,76.16153,6.83999,0.00193,59.86959,3.74802,6.84,0.06915,0.37817,0.32989,4.92391,1.0,True,109092,109092,0,0.04828,False,123026,5940,117086,0,0.0,1.0,True,128303,128303,0,0,False
watdiv_ceiling,rdf2pg,gdm,20260703T082405Z,1,rdf2pg_gdm,78.12715,6.8579,0.00193,59.8626,3.71681,6.85791,0.0625,0.37274,0.33079,6.92099,1.0,True,109092,109092,0,0.04828,False,123026,5940,117086,0,0.0,1.0,True,128303,128303,0,0,False
