dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
bsbm_1k,kg2pg,nonparsi,20260703T131223Z,2,kg2pg,3.25919,0.10413,0.00196,1.76323,0.11734,0.10414,0.00083,0.06344,0.01277,1.19478,1.0,True,1844,1844,0,0.25379,False,2971,754,2217,0,0.0,0.77009,False,4654,3584,0,1070,False
bsbm_1k,kg2pg,parsi,20260703T131211Z,0,kg2pg,2.04049,0.08508,0.00221,0.82608,0.0584,0.08509,0.00096,0.03848,0.00662,1.02189,1.0,True,1844,1844,0,0.85695,False,2971,2546,425,0,0.0,0.99217,True,2554,2534,0,20,False
bsbm_1k,kg2pg,parsi,20260703T131211Z,1,kg2pg,2.20611,0.09062,0.00204,0.89317,0.06694,0.09063,0.00083,0.04135,0.00611,1.10434,1.0,True,1844,1844,0,0.85695,False,2971,2546,425,0,0.0,0.99217,True,2554,2534,0,20,False
bsbm_1k,kg2pg,parsi,20260703T131211Z,2,kg2pg,2.02812,0.10415,0.00185,0.75479,0.06387,0.10416,0.00077,0.03902,0.00601,1.05694,1.0,True,1844,1844,0,0.85695,False,2971,2546,425,0,0.0,0.99217,True,2554,2534,0,20,False
bsbm_1k,rdf2pg,sdm,20260703T131144Z,0,rdf2pg_sdm,1.85457,0.06819,0.00173,0.41569,0.07095,0.0682,0.00253,0.00985,0.00719,1.27765,0.0,False,1844,0,1844,0.99602,True,2971,750,3,2218,0.74655,0.0,False,1844,0,0,1844,False
bsbm_1k,rdf2pg,sdm,20260703T131144Z,1,rdf2pg_sdm,2.0251,0.07332,0.00182,0.41483,0.09388,0.07333,0.0023,0.00731,0.00348,1.42756,0.0,False,1844,0,1844,0.99602,True,2971,750,3,2218,0.74655,0.0,False,1844,0,0,1844,False
bsbm_1k,rdf2pg,sdm,20260703T131144Z,2,rdf2pg_sdm,1.91511,0.08217,0.00195,0.40606,0.07752,0.08218,0.00241,0.00728,0.0036,1.33352,0.0,False,1844,0,1844,0.99602,True,2971,750,3,2218,0.74655,0.0,False,1844,0,0,1844,False
bsbm_1m,rdf2pg,cdm,20260704T142328Z,0,rdf2pg_cdm,407.67375,77.34921,0.00182,235.24833,48.76108,77.34922,2.16691,5.76915,9.62665,28.74956,0.94432,False,1000312,944612,55700,0.86604,False,1293447,1025049,158553,109845,0.08492,0.56465,False,1148852,148541,1000311,0,False
bsbm_1m,rdf2pg,cdm,20260704T142328Z,1,rdf2pg_cdm,415.89133,76.92084,0.0018,240.73699,48.75254,76.92085,2.15456,5.60077,9.37988,32.34301,0.94432,False,1000312,944612,55700,0.86604,False,1293447,1025049,158553,109845,0.08492,0.56465,False,1148852,148541,1000311,0,False
bsbm_1m,rdf2pg,cdm,20260704T142328Z,2,rdf2pg_cdm,409.75352,77.34579,0.00172,236.34835,48.67353,77.34581,2.20732,5.53151,9.16284,30.48145,0.94432,False,1000312,944612,55700,0.86604,False,1293447,1025049,158553,109845,0.08492,0.56465,False,1148852,148541,1000311,0,False
